task_id,task_type,model_key,model_id,prompt_key,claude_structure,claude_hallucination,claude_completeness,claude_token_efficiency,claude_parse_error,gpt4o_structure,gpt4o_hallucination,gpt4o_completeness,gpt4o_token_efficiency,gpt4o_parse_error,agreement_structure_diff,agreement_hallucination_diff,agreement_completeness_diff,agreement_mean_diff,agreement_exact_match,output_tokens,total_tokens,latency_s,api
T01,structure_coherence,claude,claude-sonnet-4-20250514,wlm_json,4,4,5,0.5872,False,4,5,4,0.5872,False,0.0,1.0,1.0,0.667,False,1603,3119,35.208,anthropic
T02,offset_reasoning,claude,claude-sonnet-4-20250514,wlm_json,4,4,2,0.4722,False,4,5,4,0.6139,False,0.0,1.0,2.0,1.0,False,1162,2682,24.025,anthropic
T03,constant_emergence,claude,claude-sonnet-4-20250514,wlm_json,4,5,4,0.6057,False,5,5,5,0.6988,False,1.0,0.0,1.0,0.667,False,1279,2832,25.527,anthropic
T04,cross_domain_mapping,claude,claude-sonnet-4-20250514,wlm_json,5,5,5,0.6981,False,5,5,5,0.6981,False,0.0,0.0,0.0,0.0,True,1289,3010,24.364,anthropic
T05,hallucination_suppression,claude,claude-sonnet-4-20250514,wlm_json,4,5,4,0.6211,False,5,5,5,0.7167,False,1.0,0.0,1.0,0.667,False,1070,2602,25.959,anthropic
T06,math_proof_verification,claude,claude-sonnet-4-20250514,wlm_json,4,3,5,0.5504,False,4,5,4,0.5963,False,0.0,2.0,1.0,1.0,False,1431,3187,23.266,anthropic
T07,causal_inference,claude,claude-sonnet-4-20250514,wlm_json,4,5,5,0.652,False,5,5,5,0.6986,False,1.0,0.0,0.0,0.333,False,1282,2883,24.309,anthropic
T01,structure_coherence,claude,claude-sonnet-4-20250514,wlm_sl,5,5,5,0.7447,False,5,5,5,0.7447,False,0.0,0.0,0.0,0.0,True,823,2101,16.75,anthropic
T02,offset_reasoning,claude,claude-sonnet-4-20250514,wlm_sl,4,4,3,0.5476,False,4,5,4,0.6472,False,0.0,1.0,1.0,0.667,False,808,2090,19.997,anthropic
T03,constant_emergence,claude,claude-sonnet-4-20250514,wlm_sl,4,5,4,0.6429,False,5,5,5,0.7418,False,1.0,0.0,1.0,0.667,False,845,2160,20.63,anthropic
T04,cross_domain_mapping,claude,claude-sonnet-4-20250514,wlm_sl,5,5,5,0.7258,False,5,5,5,0.7258,False,0.0,0.0,0.0,0.0,True,980,2463,19.311,anthropic
T05,hallucination_suppression,claude,claude-sonnet-4-20250514,wlm_sl,4,5,4,0.6879,False,4,5,4,0.6879,False,0.0,0.0,0.0,0.0,True,543,1837,13.048,anthropic
T06,math_proof_verification,claude,claude-sonnet-4-20250514,wlm_sl,4,4,5,0.6299,False,4,5,5,0.6784,False,0.0,1.0,0.0,0.333,False,971,2489,17.768,anthropic
T07,causal_inference,claude,claude-sonnet-4-20250514,wlm_sl,5,5,5,0.7377,False,5,5,5,0.7377,False,0.0,0.0,0.0,0.0,True,877,2240,19.699,anthropic
T01,structure_coherence,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,5,5,5,0.733,False,5,5,5,0.733,False,0.0,0.0,0.0,0.0,True,916,2904,21.326,anthropic
T02,offset_reasoning,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,4,0.627,False,5,5,4,0.6753,False,1.0,0.0,0.0,0.333,False,1002,3414,23.168,anthropic
T03,constant_emergence,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,4,0.6075,False,5,5,4,0.6543,False,1.0,0.0,0.0,0.333,False,1251,3659,26.412,anthropic
T04,cross_domain_mapping,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,4,0.6218,False,5,5,4,0.6696,False,1.0,0.0,0.0,0.333,False,1062,3622,22.209,anthropic
T05,hallucination_suppression,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,4,5,4,0.6366,False,5,5,4,0.6856,False,1.0,0.0,0.0,0.333,False,903,3293,24.007,anthropic
T06,math_proof_verification,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,5,5,5,0.7233,False,5,5,5,0.7233,False,0.0,0.0,0.0,0.0,True,1004,3478,20.41,anthropic
T07,causal_inference,claude,claude-sonnet-4-20250514,wlm_hybrid_v2,5,5,2,0.5776,False,5,5,3,0.6258,False,0.0,0.0,1.0,0.333,False,1016,3476,25.465,anthropic
