run_id,experiment,task_id,task_type,model_key,model_id,prompt_key,claude_structure,claude_hallucination,claude_completeness,claude_token_efficiency,claude_parse_error,gpt4o_structure,gpt4o_hallucination,gpt4o_completeness,gpt4o_token_efficiency,gpt4o_parse_error,agreement_structure_diff,agreement_hallucination_diff,agreement_completeness_diff,agreement_mean_diff,agreement_exact_match,output_tokens,total_tokens,latency_s,api,temperature
1,exp1,T01,structure_coherence,gemini-pro,gemini-2.5-flash,wlm_json,4,5,5,0.6069,False,5,5,5,0.6503,False,1.0,0.0,0.0,0.333,False,2183,3246,12.468,gemini,0.7
1,exp1,T02,offset_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,5,3,0.5305,False,5,5,4,0.6189,False,1.0,0.0,1.0,0.667,False,1881,2938,10.785,gemini,0.7
1,exp1,T03,constant_emergence,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5434,False,4,5,4,0.5434,False,0.0,0.0,0.0,0.0,True,2905,4012,15.219,gemini,0.7
1,exp1,T04,cross_domain_mapping,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5788,False,4,5,4,0.5788,False,0.0,0.0,0.0,0.0,True,1783,2982,9.863,gemini,0.7
1,exp1,T05,hallucination_suppression,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5956,False,3,5,3,0.5039,False,1.0,0.0,1.0,0.667,False,1444,2525,8.757,gemini,0.7
1,exp1,T06,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_json,2,4,2,0.3507,False,3,5,2,0.4383,False,1.0,1.0,0.0,0.667,False,2006,3275,11.614,gemini,0.7
1,exp1,T07,causal_inference,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5486,False,5,5,4,0.5908,False,1.0,0.0,0.0,0.333,False,2693,3835,13.7,gemini,0.7
1,exp1,T01,structure_coherence,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6349,False,5,5,5,0.6802,False,1.0,0.0,0.0,0.333,False,1556,2431,8.641,gemini,0.7
1,exp1,T02,offset_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,4,3,0.5275,False,5,5,5,0.7193,False,1.0,1.0,2.0,1.333,False,1043,1912,7.19,gemini,0.7
1,exp1,T03,constant_emergence,gemini-pro,gemini-2.5-flash,wlm_sl,4,4,4,0.5386,False,4,5,5,0.6284,False,0.0,1.0,1.0,0.667,False,1679,2598,8.645,gemini,0.7
1,exp1,T04,cross_domain_mapping,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6662,False,5,5,5,0.7138,False,1.0,0.0,0.0,0.333,False,1101,2112,7.242,gemini,0.7
1,exp1,T05,hallucination_suppression,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.6542,False,5,5,5,0.7548,False,1.0,0.0,1.0,0.667,False,752,1645,7.056,gemini,0.7
1,exp1,T06,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_sl,4,4,5,0.6178,False,4,4,3,0.5228,False,0.0,0.0,2.0,0.667,False,1111,2192,6.7,gemini,0.7
1,exp1,T07,causal_inference,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.657,False,5,5,5,0.704,False,1.0,0.0,0.0,0.333,False,1214,2168,7.287,gemini,0.7
1,exp1,T01,structure_coherence,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,4,5,5,0.6782,False,5,5,5,0.7266,False,1.0,0.0,0.0,0.333,False,973,2563,7.071,gemini,0.7
1,exp1,T02,offset_reasoning,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,3,4,2,0.4112,False,4,5,3,0.5483,False,1.0,1.0,1.0,1.0,False,1472,3361,9.267,gemini,0.7
1,exp1,T03,constant_emergence,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,3,4,2,0.3372,False,4,5,3,0.4496,False,1.0,1.0,1.0,1.0,False,7312,9268,34.508,gemini,0.7
1,exp1,T04,cross_domain_mapping,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,4,5,2,0.4996,False,4,5,3,0.545,False,0.0,0.0,1.0,0.333,False,1539,3543,10.726,gemini,0.7
1,exp1,T05,hallucination_suppression,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,3,2,2,0.3324,False,3,1,2,0.2849,False,0.0,1.0,0.0,0.333,False,1118,3028,7.463,gemini,0.7
1,exp1,T06,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,4,5,3,0.5482,False,4,3,3,0.4568,False,0.0,2.0,0.0,0.667,False,1475,3437,8.864,gemini,0.7
1,exp1,T07,causal_inference,gemini-pro,gemini-2.5-flash,wlm_hybrid_v2,2,4,2,0.3569,False,4,5,3,0.5353,False,2.0,1.0,1.0,1.333,False,1757,3715,10.389,gemini,0.7
1,exp1,T01,structure_coherence,gemini-pro,gemini-2.5-flash,base_a,4,5,3,0.5322,False,4,5,4,0.5765,False,0.0,0.0,1.0,0.333,False,1837,2014,10.502,gemini,0.7
1,exp1,T02,offset_reasoning,gemini-pro,gemini-2.5-flash,base_a,3,2,2,0.3091,False,4,5,3,0.5299,False,1.0,3.0,1.0,1.667,False,1898,2069,10.86,gemini,0.7
1,exp1,T03,constant_emergence,gemini-pro,gemini-2.5-flash,base_a,3,2,1,0.2403,False,4,5,3,0.4806,False,1.0,3.0,2.0,2.0,False,4116,4337,22.407,gemini,0.7
1,exp1,T04,cross_domain_mapping,gemini-pro,gemini-2.5-flash,base_a,4,5,5,0.7038,False,5,5,5,0.7541,False,1.0,0.0,0.0,0.333,False,757,1070,5.747,gemini,0.7
1,exp1,T05,hallucination_suppression,gemini-pro,gemini-2.5-flash,base_a,2,2,2,0.2891,False,4,4,3,0.53,False,2.0,2.0,1.0,1.667,False,1010,1205,7.814,gemini,0.7
1,exp1,T06,math_proof_verification,gemini-pro,gemini-2.5-flash,base_a,3,4,2,0.3882,False,3,5,4,0.5176,False,0.0,1.0,2.0,1.0,False,2271,2654,11.377,gemini,0.7
1,exp1,T07,causal_inference,gemini-pro,gemini-2.5-flash,base_a,3,4,2,0.4039,False,4,5,4,0.5834,False,1.0,1.0,2.0,1.333,False,1680,1936,9.601,gemini,0.7
1,exp1,T01,structure_coherence,gemini-pro,gemini-2.5-flash,base_b,2,3,1,0.2635,False,4,5,3,0.527,False,2.0,2.0,2.0,2.0,False,1978,2400,11.623,gemini,0.7
1,exp1,T02,offset_reasoning,gemini-pro,gemini-2.5-flash,base_b,4,4,2,0.4363,False,4,4,3,0.48,False,0.0,0.0,1.0,0.333,False,2078,2494,11.234,gemini,0.7
1,exp1,T03,constant_emergence,gemini-pro,gemini-2.5-flash,base_b,2,3,1,0.246,False,3,2,3,0.328,False,1.0,1.0,2.0,1.333,False,3392,3858,17.612,gemini,0.7
1,exp1,T04,cross_domain_mapping,gemini-pro,gemini-2.5-flash,base_b,4,5,2,0.5032,False,4,5,3,0.549,False,0.0,0.0,1.0,0.333,False,1459,2017,8.617,gemini,0.7
1,exp1,T05,hallucination_suppression,gemini-pro,gemini-2.5-flash,base_b,1,2,1,0.1839,False,4,3,3,0.4598,False,3.0,1.0,2.0,2.0,False,1407,1847,9.522,gemini,0.7
1,exp1,T06,math_proof_verification,gemini-pro,gemini-2.5-flash,base_b,4,5,4,0.5821,False,3,4,3,0.4477,False,1.0,1.0,1.0,1.0,False,1710,2338,9.834,gemini,0.7
1,exp1,T07,causal_inference,gemini-pro,gemini-2.5-flash,base_b,4,4,2,0.4287,False,3,2,2,0.3001,False,1.0,2.0,0.0,1.0,False,2382,2883,13.297,gemini,0.7
1,exp2,T08,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.5822,False,5,5,5,0.6718,False,1.0,0.0,1.0,0.667,False,1706,2737,8.725,gemini,0.7
1,exp2,T09,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_sl,5,5,5,0.6883,False,4,5,4,0.5965,False,1.0,0.0,1.0,0.667,False,1427,2367,8.191,gemini,0.7
1,exp2,T10,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6598,False,5,5,5,0.7069,False,1.0,0.0,0.0,0.333,False,1179,2100,7.226,gemini,0.7
1,exp2,T11,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.703,False,5,5,4,0.703,False,1.0,0.0,1.0,0.667,False,763,1758,5.329,gemini,0.7
1,exp2,T12,logical_validity,gemini-pro,gemini-2.5-flash,wlm_sl,2,5,4,0.4868,False,3,4,3,0.4426,False,1.0,1.0,1.0,1.0,False,1865,2797,9.978,gemini,0.7
1,exp2,T13,logical_validity,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.6193,False,4,5,4,0.6193,False,0.0,0.0,0.0,0.0,True,1093,2022,7.083,gemini,0.7
1,exp2,T14,logical_validity,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.6123,False,4,5,5,0.6594,False,0.0,0.0,1.0,0.333,False,1184,2106,6.829,gemini,0.7
1,exp2,T15,statistical_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,3,4,2,0.4218,False,5,5,5,0.7029,False,2.0,1.0,3.0,2.0,False,1227,2174,8.32,gemini,0.7
1,exp2,T16,statistical_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6542,False,4,5,5,0.6542,False,0.0,0.0,0.0,0.0,True,1252,2304,8.69,gemini,0.7
1,exp2,T17,statistical_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,5,5,5,0.6964,False,5,5,5,0.6964,False,0.0,0.0,0.0,0.0,True,1311,2249,8.456,gemini,0.7
1,exp2,T18,code_debugging,gemini-pro,gemini-2.5-flash,wlm_sl,4,4,5,0.6147,False,4,5,5,0.662,False,0.0,1.0,0.0,0.333,False,1151,2063,7.187,gemini,0.7
1,exp2,T19,code_debugging,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.5729,False,4,5,5,0.617,False,0.0,0.0,1.0,0.333,False,1926,2845,10.482,gemini,0.7
1,exp2,T20,code_debugging,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6496,False,5,5,5,0.696,False,1.0,0.0,0.0,0.333,False,1317,2256,8.636,gemini,0.7
1,exp2,T21,factual_calibration,gemini-pro,gemini-2.5-flash,wlm_sl,3,5,2,0.4477,False,3,5,3,0.4925,False,0.0,0.0,1.0,0.333,False,1711,2644,10.803,gemini,0.7
1,exp2,T22,factual_calibration,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6156,False,5,5,4,0.6156,False,1.0,0.0,1.0,0.667,False,1960,2889,10.131,gemini,0.7
1,exp2,T23,factual_calibration,gemini-pro,gemini-2.5-flash,wlm_sl,4,3,5,0.577,False,4,4,5,0.6251,False,0.0,1.0,0.0,0.333,False,1024,1916,7.286,gemini,0.7
1,exp2,T24,causal_inference,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.6033,False,4,5,4,0.6033,False,0.0,0.0,0.0,0.0,True,1315,2211,8.221,gemini,0.7
1,exp2,T25,causal_inference,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,4,0.6506,False,5,5,5,0.7507,False,1.0,0.0,1.0,0.667,False,780,1681,5.091,gemini,0.7
1,exp2,T26,causal_inference,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.7092,False,5,5,5,0.7598,False,1.0,0.0,0.0,0.333,False,720,1592,5.362,gemini,0.7
1,exp2,T27,mathematical_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6222,False,4,5,4,0.5778,False,0.0,0.0,1.0,0.333,False,1807,2701,9.891,gemini,0.7
1,exp2,T28,mathematical_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6583,False,5,5,5,0.7053,False,1.0,0.0,0.0,0.333,False,1198,2120,7.492,gemini,0.7
1,exp2,T29,mathematical_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,3,5,0.5393,False,4,5,5,0.6291,False,0.0,2.0,0.0,0.667,False,1664,2550,8.429,gemini,0.7
1,exp2,T30,scientific_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,4,5,0.6351,False,4,5,5,0.6839,False,0.0,1.0,0.0,0.333,False,918,1768,6.522,gemini,0.7
1,exp2,T31,scientific_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,4,5,0.6391,False,5,5,5,0.7375,False,1.0,1.0,0.0,0.667,False,879,1779,6.574,gemini,0.7
1,exp2,T32,scientific_reasoning,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.7095,False,5,5,5,0.7601,False,1.0,0.0,0.0,0.333,False,718,1616,5.76,gemini,0.7
1,exp2,T33,epistemic_calibration,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6649,False,5,5,5,0.7124,False,1.0,0.0,0.0,0.333,False,1116,2034,7.323,gemini,0.7
1,exp2,T34,epistemic_calibration,gemini-pro,gemini-2.5-flash,wlm_sl,4,5,5,0.6856,False,5,5,4,0.6856,False,1.0,0.0,1.0,0.667,False,903,1794,6.355,gemini,0.7
1,exp2,T35,epistemic_calibration,gemini-pro,gemini-2.5-flash,wlm_sl,3,4,2,0.4089,False,4,5,4,0.5906,False,1.0,1.0,2.0,1.333,False,1536,2395,10.936,gemini,0.7
1,exp2,T36,structured_analysis,gemini-pro,gemini-2.5-flash,wlm_sl,2,4,1,0.3219,False,4,5,4,0.5979,False,2.0,1.0,3.0,2.0,False,1404,2285,9.82,gemini,0.7
1,exp2,T37,structured_analysis,gemini-pro,gemini-2.5-flash,wlm_sl,3,4,2,0.4182,False,4,5,3,0.5576,False,1.0,1.0,1.0,1.0,False,1303,2212,8.78,gemini,0.7
1,exp2,T08,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_json,4,5,5,0.6034,False,4,5,5,0.6034,False,0.0,0.0,0.0,0.0,True,2283,3502,11.924,gemini,0.7
1,exp2,T09,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5417,False,5,5,4,0.5833,False,1.0,0.0,0.0,0.333,False,2980,4108,16.235,gemini,0.7
1,exp2,T10,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_json,4,5,5,0.6007,False,5,5,5,0.6436,False,1.0,0.0,0.0,0.333,False,2365,3474,12.482,gemini,0.7
1,exp2,T11,math_proof_verification,gemini-pro,gemini-2.5-flash,wlm_json,4,5,5,0.6288,False,4,5,5,0.6288,False,0.0,0.0,0.0,0.0,True,1671,2854,10.525,gemini,0.7
1,exp2,T12,logical_validity,gemini-pro,gemini-2.5-flash,wlm_json,5,5,4,0.6029,False,5,5,4,0.6029,False,0.0,0.0,0.0,0.0,True,2298,3418,12.389,gemini,0.7
1,exp2,T13,logical_validity,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.594,False,4,5,4,0.594,False,0.0,0.0,0.0,0.0,True,1473,2590,7.708,gemini,0.7
1,exp2,T14,logical_validity,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5446,False,4,5,3,0.5027,False,0.0,0.0,1.0,0.333,False,2854,3964,16.367,gemini,0.7
1,exp2,T15,statistical_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,4,4,0.5151,False,4,5,4,0.558,False,0.0,1.0,0.0,0.333,False,2358,3493,13.342,gemini,0.7
1,exp2,T16,statistical_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,4,5,0.5493,False,4,5,5,0.5916,False,0.0,1.0,0.0,0.333,False,2665,3905,13.285,gemini,0.7
1,exp2,T17,statistical_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,5,5,0.6205,False,5,5,5,0.6648,False,1.0,0.0,0.0,0.333,False,1846,2972,9.569,gemini,0.7
1,exp2,T18,code_debugging,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5875,False,4,5,4,0.5875,False,0.0,0.0,0.0,0.0,True,1597,2697,8.473,gemini,0.7
1,exp2,T19,code_debugging,gemini-pro,gemini-2.5-flash,wlm_json,4,4,4,0.5041,False,5,5,3,0.5461,False,1.0,1.0,1.0,1.0,False,2792,3899,14.62,gemini,0.7
1,exp2,T20,code_debugging,gemini-pro,gemini-2.5-flash,wlm_json,4,4,5,0.542,False,4,5,4,0.542,False,0.0,1.0,1.0,0.667,False,2964,4091,16.603,gemini,0.7
1,exp2,T21,factual_calibration,gemini-pro,gemini-2.5-flash,wlm_json,4,5,2,0.4816,False,4,5,3,0.5254,False,0.0,0.0,1.0,0.333,False,2023,3144,11.322,gemini,0.7
1,exp2,T22,factual_calibration,gemini-pro,gemini-2.5-flash,wlm_json,4,4,2,0.4419,False,3,2,2,0.3093,False,1.0,2.0,0.0,1.0,False,1888,3005,9.946,gemini,0.7
1,exp2,T23,factual_calibration,gemini-pro,gemini-2.5-flash,wlm_json,4,5,3,0.505,False,4,5,3,0.505,False,0.0,0.0,0.0,0.0,True,2755,3835,15.52,gemini,0.7
1,exp2,T24,causal_inference,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.5462,False,4,5,4,0.5462,False,0.0,0.0,0.0,0.0,True,2788,3872,14.5,gemini,0.7
1,exp2,T25,causal_inference,gemini-pro,gemini-2.5-flash,wlm_json,4,5,4,0.6031,False,4,5,5,0.6495,False,0.0,0.0,1.0,0.333,False,1318,2407,7.87,gemini,0.7
1,exp2,T26,causal_inference,gemini-pro,gemini-2.5-flash,wlm_json,4,4,5,0.5942,False,5,5,5,0.6856,False,1.0,1.0,0.0,0.667,False,1469,2529,9.838,gemini,0.7
1,exp2,T27,mathematical_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,5,2,0.4599,False,4,5,3,0.5017,False,0.0,0.0,1.0,0.333,False,2902,3984,14.543,gemini,0.7
1,exp2,T28,mathematical_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,5,5,0.6226,False,5,5,5,0.6671,False,1.0,0.0,0.0,0.333,False,1799,2909,10.634,gemini,0.7
1,exp2,T29,mathematical_reasoning,gemini-pro,gemini-2.5-flash,wlm_json,4,2,4,0.4103,False,5,4,5,0.5745,False,1.0,2.0,1.0,1.333,False,3372,4446,15.57,gemini,0.7
